poi_id,name,lon,lat,zone_id,facility_type,capacity_level
CEN_LOG_014834,Census logistics 52387541,138.643750,35.287500,MFS70,LOGISTICS_HUB,low
CEN_LOG_014835,Census logistics 52385572,138.656250,35.145833,MFS70,LOGISTICS_HUB,medium
CEN_LOG_014836,Census logistics 52387608,138.856250,35.254167,MFS70,LOGISTICS_HUB,medium
CEN_LOG_014837,Census logistics 52387731,138.893750,35.279167,MFS70,LOGISTICS_HUB,low
CEN_LOG_014838,Census logistics 52387750,138.881250,35.295833,MFS70,LOGISTICS_HUB,low
CEN_LOG_014839,Census logistics 52385609,138.868750,35.087500,MFS70,LOGISTICS_HUB,medium
CEN_LOG_014840,Census logistics 52387755,138.943750,35.295833,MFS70,LOGISTICS_HUB,medium
CEN_LOG_014841,Census logistics 52387764,138.931250,35.304167,MFS70,LOGISTICS_HUB,medium
CEN_LOG_014842,Census logistics 52396597,139.718750,35.245833,MFS19,LOGISTICS_HUB,medium
CEN_LOG_014843,Census logistics 52392047,139.093750,34.870833,MFS70,LOGISTICS_HUB,low
CEN_LOG_014844,Census logistics 52392087,139.093750,34.904167,MFS70,LOGISTICS_HUB,low
CEN_LOG_014845,Census logistics 52395479,139.618750,35.145833,MFS19,LOGISTICS_HUB,medium
CEN_LOG_014846,Census logistics 52393057,139.093750,34.962500,MFS70,LOGISTICS_HUB,medium
CEN_LOG_014847,Census logistics 52397003,139.043750,35.254167,MFS23,LOGISTICS_HUB,low
CEN_LOG_014848,Census logistics 52397019,139.118750,35.262500,MFS23,LOGISTICS_HUB,low
CEN_LOG_014849,Census logistics 52393616,139.831250,34.929167,MFS19,LOGISTICS_HUB,low
CEN_LOG_014850,Census logistics 52395607,139.843750,35.087500,MFS45,LOGISTICS_HUB,low
CEN_LOG_014851,Census logistics 52397088,139.106250,35.320833,MFS26,LOGISTICS_HUB,medium
CEN_LOG_014852,Census logistics 52397100,139.131250,35.254167,MFS23,LOGISTICS_HUB,low
CEN_LOG_014853,Census logistics 52395695,139.818750,35.162500,MFS19,LOGISTICS_HUB,low
CEN_LOG_014854,Census logistics 52393664,139.806250,34.970833,MFS19,LOGISTICS_HUB,low
CEN_LOG_014855,Census logistics 52397134,139.181250,35.279167,MFS23,LOGISTICS_HUB,medium
CEN_LOG_014856,Census logistics 52397158,139.231250,35.295833,MFS23,LOGISTICS_HUB,medium
CEN_LOG_014857,Census logistics 52397159,139.243750,35.295833,MFS23,LOGISTICS_HUB,low
CEN_LOG_014858,Census logistics 52397161,139.143750,35.304167,MFS23,LOGISTICS_HUB,low
CEN_LOG_014859,Census logistics 52397164,139.181250,35.304167,MFS23,LOGISTICS_HUB,medium
CEN_LOG_014860,Census logistics 52397169,139.243750,35.304167,MFS23,LOGISTICS_HUB,low
CEN_LOG_014861,Census logistics 52397182,139.156250,35.320833,MFS23,LOGISTICS_HUB,medium
CEN_LOG_014862,Census logistics 52397275,139.318750,35.312500,MFS21,LOGISTICS_HUB,medium
CEN_LOG_014863,Census logistics 52397298,139.356250,35.329167,MFS22,LOGISTICS_HUB,high
CEN_LOG_014864,Census logistics 52397377,139.468750,35.312500,MFS20,LOGISTICS_HUB,low
CEN_LOG_014865,Census logistics 52397387,139.468750,35.320833,MFS20,LOGISTICS_HUB,medium
CEN_LOG_014866,Census logistics 52397416,139.581250,35.262500,MFS19,LOGISTICS_HUB,low
CEN_LOG_014867,Census logistics 52394153,139.168750,35.045833,MFS70,LOGISTICS_HUB,low
CEN_LOG_014868,Census logistics 52394609,139.868750,35.004167,MFS19,LOGISTICS_HUB,medium
CEN_LOG_014869,Census logistics 52396022,139.031250,35.187500,MFS23,LOGISTICS_HUB,low
CEN_LOG_014870,Census logistics 52396042,139.031250,35.204167,MFS23,LOGISTICS_HUB,low
CEN_LOG_014871,Census logistics 52396051,139.018750,35.212500,MFS23,LOGISTICS_HUB,low
CEN_LOG_014872,Census logistics 52396092,139.031250,35.245833,MFS23,LOGISTICS_HUB,low
CEN_LOG_014873,Census logistics 52396130,139.131250,35.195833,MFS23,LOGISTICS_HUB,low
CEN_LOG_014874,Census logistics 52396181,139.143750,35.237500,MFS23,LOGISTICS_HUB,low
CEN_LOG_014875,Census logistics 52397425,139.568750,35.270833,MFS19,LOGISTICS_HUB,low
CEN_LOG_014876,Census logistics 52397426,139.581250,35.270833,MFS19,LOGISTICS_HUB,low
CEN_LOG_014877,Census logistics 52397696,139.831250,35.329167,MFS19,LOGISTICS_HUB,low
CEN_LOG_014878,Census logistics 52396544,139.681250,35.204167,MFS19,LOGISTICS_HUB,low
CEN_LOG_014879,Census logistics 52397429,139.618750,35.270833,MFS19,LOGISTICS_HUB,low
CEN_LOG_014880,Census logistics 52396567,139.718750,35.220833,MFS19,LOGISTICS_HUB,low
CEN_LOG_014881,Census logistics 52397764,139.931250,35.304167,MFS44,LOGISTICS_HUB,low
CEN_LOG_014882,Census logistics 52397766,139.956250,35.304167,MFS44,LOGISTICS_HUB,low
